Loop	Sum
  556	144565456
  557	144734608
  558	145349792
  559	145095888
  560	143521712
  561	145250912
  562	144415280
  563	145481136
  564	144588576
  565	143843920
  566	144178304
  567	143249744
  568	143169232
  569	144629824
  570	142982624
  571	145095792
  572	145507856
  573	144013648
  574	145380992
  575	145084704
  576	144986320
  577	145607520
  578	145426512
  579	144915184
  580	145947376
  581	145049632
  582	145589056
  583	145319312
  584	145304496
  585	144723584
  586	144844784
  587	144184064
  588	144779472
  589	143778976
  590	144620416
  591	143529904
  592	143379216
  593	145776688
  594	146092048
  595	144566512
  596	144279312
  597	143267984
  598	144491360
  599	144103408
  600	142527408
  601	143587872
  602	144600768
  603	144658832
  604	144900512
  605	143479824
  606	143710928
  607	143980176
  608	143567472
  609	143855728
  610	143868352
  611	145188688
  612	145097392
  613	144798976
  614	146115504
  615	146071664
  616	145607632
  617	145867600
  618	145541792
  619	145137888
  620	145710272
  621	145013136
  622	145402032
  623	143510240
  624	145990352
  625	146396624
  626	146470048
  627	146202064
  628	145794048
  629	145917376
  630	145354176
  631	144640144
  632	145052400
  633	144160640
  634	145774544
  635	145737888
  636	145496192
  637	145703136
  638	145105616
  639	145695904
  640	145701168
  641	144407792
  642	145248656
  643	144603232
  644	144933088
  645	145218368
  646	144946496
  647	145115680
  648	145038592
  649	146121184
  650	145370352
  651	145651888
  652	145896064
  653	145490976
  654	144884096
  655	143880560
  656	144676096
  657	144603072
  658	144263568
  659	144937568
  660	143679024
  661	144712944
  662	145780880
  663	145863312
  664	145258496
  665	144711760
  666	145328000
  667	144951296
  668	144708544
  669	145355920
  670	144072352
  671	144853856
  672	144360688
  673	146147456
  674	146289920
  675	145354256
  676	146049296
  677	145076576
  678	145937776
  679	145426832
  680	145329520
  681	145387984
  682	145285536
  683	145767632
  684	145071776
  685	146299984
  686	145606016
  687	146419968
  688	145941280
  689	144719520
  690	145897424
  691	145429520
  692	146395312
  693	146443312
  694	146026448
  695	146442368
  696	146034640
  697	147732000
  698	146935520
  699	147892848
  700	148213040
  701	146989824
  702	147692960
  703	147345344
  704	148301136
  705	146472416
  706	146801328
  707	147985936
  708	147541616
  709	147482720
  710	146038480
  711	147680672
  712	147222768
  713	147103424
  714	147978032
  715	147706080
  716	148634736
  717	146943952
  718	147443856
  719	148043504
  720	147853776
  721	148444112
  722	146847488
  723	147455616
  724	147194192
  725	147089376
  726	146812864
  727	145023328
  728	146849056
  729	145997520
  730	146287104
  731	145519312
  732	146538544
  733	145979824
  734	146154896
  735	146926448
  736	146110288
  737	147134128
  738	147188832
  739	146967648
  740	147192016
  741	147042368
  742	147478576
  743	147114688
  744	147347520
  745	145673808
  746	147029568
  747	145181584
  748	143840512
  749	144958512
  750	144700192
  751	145409888
  752	144938320
  753	145547776
  754	145718832
  755	145764144
  756	146533440
  757	146152688
  758	146319520
  759	146513824
  760	147350416
  761	147491232
  762	148249328
  763	148379600
  764	147567360
  765	146913984
  766	145835728
  767	146999584
  768	146881792
  769	147222928
  770	148197392
  771	147824624
  772	148372144
  773	146707232
  774	147670640
  775	146242880
  776	146791600
  777	146544032
  778	147993776
  779	148927856
  780	148662320
  781	148505776
  782	148741632
  783	148156304
  784	147345184
  785	147685728
  786	146703392
  787	146635200
  788	147346032
  789	147108320
  790	146712896
  791	146933280
  792	148212400
  793	147495264
  794	147524688
  795	147433712
  796	148011296
  797	147550912
  798	147779408
  799	147427920
  800	147266912
  801	147116624
  802	147344528
  803	148208896
  804	147419328
  805	147303024
  806	147406800
  807	146911984
  808	146868448
  809	147532896
  810	147206256
  811	148234288
  812	148335296
  813	147577680
  814	147878448
  815	146794496
  816	147222848
  817	147090848
  818	147430320
  819	147007840
  820	147877408
  821	146587216
  822	147290320
  823	146926080
  824	147060032
  825	146682384
  826	147831504
  827	146884608
  828	147402976
  829	146969312
  830	147317392
  831	147375984
  832	146481280
  833	146059200
  834	145913936
  835	146399360
  836	146769664
  837	147293552
  838	147237072
  839	146816944
  840	146495552
  841	147286176
  842	146958432
  843	146502304
  844	146341808
  845	147153712
  846	146370416
  847	146001968
  848	146040032
  849	147072720
  850	148122288
  851	148322576
  852	147892480
  853	147586544
  854	146952800
  855	146643952
  856	147959312
  857	146888944
  858	146543552
  859	146521920
  860	148168752
  861	147095344
  862	147276336
  863	146851408
  864	147065104
  865	146618064
  866	147359792
  867	146127984
  868	146747456
  869	146596368
  870	147054160
  871	146596032
  872	146366656
  873	146278288
  874	146436192
  875	145813088
  876	145709104
  877	146709040
  878	146340688
  879	146738144
  880	146306416
  881	146924048
  882	147151744
  883	148366096
  884	147932640
  885	148384512
  886	147648624
  887	147119168
  888	146971648
  889	147155472
  890	146680672
  891	147700720
  892	147742704
  893	147925168
  894	146290288
  895	147125536
  896	146728160
  897	146801136
  898	146485360
  899	145649520
  900	145510768
  901	146174560
  902	146045952
  903	147587872
  904	146330512
  905	146536208
  906	145844272
  907	145824864
  908	144908976
  909	145386720
  910	145538992
  911	146166880
  912	145926832
  913	146383040
  914	146068368
  915	146944480
  916	145919024
  917	146277744
  918	145876560
  919	146000528
  920	146302112
  921	146074096
  922	144925408
  923	145655776
  924	144852832
  925	146388656
  926	144483584
  927	145969296
  928	145698960
  929	146195440
  930	145995536
  931	146747728
  932	146669712
  933	146534400
  934	145577152
  935	146633696
  936	146332928
  937	147095808
  938	146178224
  939	147069968
  940	146580288
  941	147244672
  942	146266816
  943	147012384
  944	145749120
  945	147065264
  946	147204144
  947	146190688
  948	146000912
  949	146121392
  950	145978000
  951	145788928
  952	147113776
  953	146343312
  954	145799872
  955	146106160
  956	147244784
  957	145999856
  958	147124768
  959	146264752
  960	147305680
  961	146457696
  962	147123952
  963	147005568
  964	147548528
  965	145947632
  966	146498560
  967	146555136
  968	147553952
  969	147773600
  970	147595248
  971	146447872
  972	147440256
  973	147271808
  974	147581312
  975	147457296
  976	146351136
  977	146894304
  978	145993280
  979	146947968
  980	146383968
  981	147077600
  982	146508032
  983	146781232
  984	144925808
  985	146375984
  986	145943600
  987	146838736
  988	145815344
  989	146674880
  990	146372256
  991	146510976
  992	145936160
  993	146044160
  994	146190592
  995	147126752
  996	147090144
  997	146829136
  998	147069504
  999	146136464
  1000	146759728
